Timestamp_Epoch,Timestamp_Seconds,Cart_X,Cart_Y,Cart_Z,Yaw_angle,Cable_X,Cable_Y,Unused,Cable_Lock,Yaw_angle_corrected,Rot_X,Rot_Y,CCOG_X,CCOG_Y,CCOG_Z
1759744830.777,120030.777,619487.27,5806174.64,41.54,-87.89999999999992,7.20000000000001,2.8999999999999977,,1,92.10000000000008,-3.1618870446453164,7.088897679957318,619484.1081129553,5806181.72889768,41.54
1759744830.98,120030.98,619487.27,5806174.64,41.54,-87.89999999999992,7.20000000000001,2.8999999999999977,,1,92.10000000000008,-3.1618870446453164,7.088897679957318,619484.1081129553,5806181.72889768,41.54
1759744831.2,120031.2,619487.27,5806174.64,41.54,-87.89999999999992,7.20000000000001,2.8999999999999977,,1,92.10000000000008,-3.1618870446453164,7.088897679957318,619484.1081129553,5806181.72889768,41.54
1759744831.401,120031.401,619487.27,5806174.64,41.54,-87.89999999999992,7.20000000000001,2.8999999999999977,,1,92.10000000000008,-3.1618870446453164,7.088897679957318,619484.1081129553,5806181.72889768,41.54
1759744831.603,120031.603,619487.27,5806174.64,41.54,-87.89999999999992,7.20000000000001,2.8999999999999977,,1,92.10000000000008,-3.1618870446453164,7.088897679957318,619484.1081129553,5806181.72889768,41.54
1759744831.806,120031.806,619487.27,5806174.64,41.54,-87.89999999999992,7.20000000000001,2.8999999999999977,,1,92.10000000000008,-3.1618870446453164,7.088897679957318,619484.1081129553,5806181.72889768,41.54
1759744832.01,120032.01,619487.27,5806174.64,41.54,-87.89999999999992,7.20000000000001,2.8999999999999977,,1,92.10000000000008,-3.1618870446453164,7.088897679957318,619484.1081129553,5806181.72889768,41.54
1759744832.212,120032.212,619487.27,5806174.64,41.54,-87.39999999999996,6.500000000000015,3.2000000000000046,,1,92.60000000000004,-3.4915652461704463,6.348147141626046,619483.7784347539,5806180.988147141,41.54
1759744832.416,120032.416,619487.22,5806174.64,41.55,-87.99999999999997,7.100000000000004,3.2000000000000046,,1,92.00000000000003,-3.445837073048871,6.983996482387579,619483.774162927,5806181.623996482,41.55
1759744832.634,120032.634,619487.19,5806174.64,41.55,-87.99999999999997,7.100000000000004,3.2000000000000046,,1,92.00000000000003,-3.445837073048871,6.983996482387579,619483.7441629269,5806181.623996482,41.55
1759744832.634,120032.634,619487.19,5806174.64,41.55,-88.3,7.100000000000004,3.2000000000000046,,1,91.7,-3.4092218853863203,7.001943025775276,619483.7807781146,5806181.641943025,41.55
1759744832.836,120032.836,619487.15,5806174.64,41.55,-87.19999999999997,8.099999999999993,3.499999999999986,,1,92.80000000000003,-3.8915046160394753,7.91935551818096,619483.258495384,5806182.559355518,41.55
