Timestamp_Epoch,Timestamp_Seconds,Cart_X,Cart_Y,Cart_Z,Yaw_angle,Cable_X,Cable_Y,Unused,Cable_Lock,Yaw_angle_corrected,Rot_X,Rot_Y,CCOG_X,CCOG_Y,CCOG_Z
1759745788.401,121628.401,619489.86,5806174.58,41.56,-87.69999999999999,-0.299999999999994,3.399999999999992,,1,92.30000000000001,-3.385221405629341,-0.4362064131450309,619486.4747785943,5806174.143793587,41.56
1759745788.603,121628.603,619489.64,5806174.63,41.57,-90.39999999999998,0.6000000000000009,1.4000000000000148,,1,89.60000000000002,-1.3957771268087906,0.6097591428403835,619488.2442228732,5806175.2397591425,41.57
1759745788.805,121628.805,619489.41,5806174.58,41.58,-90.0,0.6999999999999946,-1.100000000000008,,1,90.0,1.100000000000008,0.6999999999999945,619490.51,5806175.28,41.58
1759745789.008,121629.008,619489.25,5806174.59,41.53,-87.79999999999998,2.9000000000000106,0.1999999999999875,,1,92.20000000000002,-0.31117722963592054,2.8901848957733085,619488.9388227704,5806177.480184896,41.53
1759745789.225,121629.225,619488.95,5806174.62,41.54,-88.00000000000003,2.2999999999999967,2.0999999999999965,,1,91.99999999999997,-2.1789895791558487,2.225309959068666,619486.7710104208,5806176.845309959,41.54
1759745789.428,121629.428,619488.83,5806174.64,41.56,-89.49999999999999,2.800000000000004,0.9999999999999888,,1,90.50000000000001,-1.024396222459608,2.7911668490813093,619487.8056037775,5806177.431166849,41.56
1759745789.631,121629.631,619488.64,5806174.61,41.58,-88.80000000000003,3.300000000000011,-0.1999999999999875,,1,91.19999999999997,0.13084615107987999,3.303464739443672,619488.770846151,5806177.91346474,41.58
1759745789.832,121629.832,619488.42,5806174.61,41.55,-86.7,3.600000000000005,0.8000000000000012,,1,93.3,-1.0059039503456662,3.547979318242853,619487.4140960497,5806178.157979319,41.55
1759745790.034,121630.034,619488.25,5806174.65,41.53,-88.6000000000001,5.300000000000001,2.8999999999999977,,1,91.3999999999999,-3.0286248645744824,5.227564579197582,619485.2213751355,5806179.877564579,41.53
1759745790.253,121630.253,619487.97,5806174.65,41.55,-89.80000000000001,5.399999999999995,2.900000000000023,,1,90.19999999999999,-2.918831849849822,5.389844212247914,619485.0511681502,5806180.039844213,41.55
1759745790.455,121630.455,619487.76,5806174.61,41.56,-89.10000000000001,6.600000000000009,1.4000000000000148,,1,90.89999999999999,-1.5034955797323553,6.57719553014242,619486.2565044203,5806181.18719553,41.56
1759745790.66,121630.66,619487.53,5806174.59,41.54,-87.99999999999997,6.900000000000003,1.699999999999996,,1,92.00000000000003,-1.9397709331797184,6.8364675620375115,619485.5902290669,5806181.426467562,41.54
1759745790.861,121630.861,619487.31,5806174.63,41.5,-88.39999999999995,6.399999999999996,2.3000000000000096,,1,91.60000000000005,-2.477801752423671,6.333284967194053,619484.8321982477,5806180.9632849675,41.5
1759745791.063,121631.063,619487.15,5806174.64,41.52,-89.69999999999997,6.80000000000001,2.5999999999999908,,1,90.30000000000003,-2.635568913896957,6.786293281320819,619484.5144310861,5806181.426293281,41.52
1759745791.264,121631.264,619486.95,5806174.62,41.52,-88.39999999999995,6.600000000000009,2.5999999999999908,,1,91.60000000000005,-2.7832691146804724,6.524830498585067,619484.1667308853,5806181.144830499,41.52
1759745791.483,121631.483,619486.76,5806174.61,41.51,-88.10000000000002,8.100000000000005,2.6999999999999846,,1,91.89999999999998,-2.9670725279897896,8.00602776747922,619483.792927472,5806182.616027768,41.51
1759745791.684,121631.684,619486.51,5806174.62,41.48,-87.30000000000001,7.40000000000001,1.0999999999999823,,1,92.69999999999999,-1.4473665977095032,7.339967978937983,619485.0626334023,5806181.959967979,41.48
